UML_ID,Mill_Name,Group_Name,Group,Parent_Com,Parent Company,Comments,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,ISO,Country,Province,District,Confidence,Alternativ,Type,Alt Names
PO1000000102,GUSAP,NBPOL,NBPOL,RAMU AGRI INDUSTRIES,,,RSPO Certified,"RSPO Certified, IP",2019-10-31,-6.07319000000,145.98458000000,PNG,Papua New Guinea,Morobe,Markham,1-Fully Verified,,,"GUSAP MILL,,,,,,,,,GUSAP MILL*,RAMU AGRI INDUSTRIES  PART OF NEW BRITAIN PALM OIL,RAMU AGRI INDUSTRIES  PART OF NEW BRITAIN PALM OIL,RAMU AGRI INDUSTRIES  PART OF NEW BRITAIN PALM OIL,RAMU AGRI-INDUSTRIES - GUSAP,RAMU AGRI INDUSTRIES (GUSAP MILL),RAMU AGRI - INDUSTRIES - GUSAP"
PO1000000103,WEST (SOU 9),SIME DARBY,Sime Darby Guthrie (SDGI),SIME DARBY PLANTATION BHD,Sime Darby Guthrie (SDGI),,RSPO Certified,"RSPO Certified, IP",2019-10-31,2.90500000000,101.36131000000,MYS,Malaysia,Selangor,Kuala Langat,2-High Confidence,,,"WEST,WEST OIL MILL,,WEST OIL MILL (SOU9),WEST PALM OIL MILL,,,,,KKS WEST,,,,,,,SIME DARBY PLANTATION SDN BHD,SIME DARBY PLANTATION SDN BHD,WEST OIL MILL - SIME DARBY,WEST OIL MILL - SIME DARBY,WEST OIL MILL - SIMEDARBY,LANGAT REFINERY,,,WEST OIL MILL (50U9),WEST (SOU 09),SIME DARBY
JOMALINA (NURI)"
PO1000000104,SUNGAI DINGIN (SOU 1),SIME DARBY,Sime Darby Guthrie (SDGI),SIME DARBY PLANTATION BHD,Sime Darby Guthrie (SDGI),,RSPO Certified,"RSPO Certified, MB",2019-10-31,5.39432000000,100.71117000000,MYS,Malaysia,Kedah,Kulim,1-Fully Verified,,,"SUNGAI DINGIN,SIME DARBY - SG DINGIN,KILANG KELAPA SAWIT SUNGAI DINGIN,,,,SUNGAI DINGIN PALM OIL MILL,KKG SUNGAI DINGIN,,,,,,KKS SUNGAI DINGIN,KKS SUNGAI DINGIN,,SUNGAI BURUNG POM,,,SUNGAI DINGIN 0IL MILL (S0U1),SUNGAI DINGIN OIL MILL -SIME DARBY,SUNGAI DINGIN (SOU 01)"
PO1000000105,NAVO MILL,SIPEF,SIPEF,HARGY OIL PALM LIMITED,Hargy Oil Palms,,RSPO Certified,"RSPO Certified, IP",2019-10-31,-5.09411000000,151.22449000000,PNG,Papua New Guinea,West New Britain,Talasea,1-Fully Verified,,,"NAVO,,,,,,,NAVO MILL*,NAVO PALM OIL MILL - SIPEF"
PO1000000106,SUKAJADI SAWIT MEKAR 1,MUSIM MAS,Musim Mas,SUKAJADI SAWIT MEKAR,,,RSPO Certified,"RSPO Certified, IP",2019-10-31,-2.38111000000,112.53972000000,IDN,Indonesia,Kalimantan Tengah,Kotawaringin Timur,1-Fully Verified,,,"AGROWIRATAMA SUKAJADI SAWIT MEKAR 1,,AGROWIRATAMA - PKS SUKAJADI SAWIT MEKAR 1,,,,,PT. SUKAJADI SAWIT MEKAR 1,MUSIM MAS,MUSIM MAS,AGROWIRATAMA
SUKAJADI SAWIT MEKAR
1,AGROWIRATAMA SUKAJADI
SAWIT MEKAR 1,AGROWIRATAMA SUKAJADI
SAWIT MEKAR 1,AGROWIRATAMA SUKAJADI
SAWIT MEKAR 1,AGROWIRATAMA SUKAJADI
SAWIT MEKAR 1,SUKAJADI SAWIT MEKAR
1,,,SSM 1"
PO1000000107,BUKIT AJONG,SIME DARBY,Sime Darby Guthrie (SDGI),SIME INDO AGRO,,,Not RSPO Certified,,2019-10-31,0.26894000000,110.48280000000,IDN,Indonesia,Kalimantan Barat,Sanggau,1-Fully Verified,,,"SIME INDO AGRO,SIME INDO AGRO (BUKIT AJONG),,SIME DARBY PLANTATION INDO AGRO,PRODUK SAWITINDO JAMBI-
PELABUHAN DAGANG,,PMKS BUKIT AJONG,BUKIT AJONG POM PT SIA"
PO1000000109,PAMOL KLUANG,IOI CORPORATION,IOI,IOI CORPORATION BERHAD,IOI,,RSPO Certified,"RSPO Certified, IP",2019-10-31,2.11045000000,103.39231000000,MYS,Malaysia,Johor,Keluang,1-Fully Verified,,,"PAMOL KLUANG POM,,PAMOL KLUANG PALM OIL MILL,PAMOL PLANTATION SDN BHD,,,,,,,,,,,,,,IOI PAMOL KLUANG OIL MILL,,,KILANG KELAPA SAWIT PAMOL,KILANG KELAPA SAWIT PAMOL,IOI CORPORATION BHD,IOI CORPORATION BHD,IOI CORPORATION BHD,PAMOL PLANTATIONS SDN BHD - PAMOL KLUANG PALM OIL MILL,PAMOL PLANTATIONS SDN BHD - PAMOL KLUANG PALM OIL MILL,IOI COMMODITY TRADING SDN BHD,PAMOL KLUANG PALM OIL MILL,GOMALI,PAMOL KLUNG POM,,,IOI PAMOL,,PAMOL KLUANG P0M,PAMOL PLANTATIONS SDN
BHD - PAMOL KLUANG PALM
OIL MILL,PAMOL KLUANG PALM OILMILL"
PO1000000110,SAKILAN,IOI CORPORATION,IOI,IOI CORPORATION BERHAD,IOI,,RSPO Certified,"RSPO Certified, IP",2019-10-31,5.83928000000,117.84370000000,MYS,Malaysia,Sabah,Sandakan,1-Fully Verified,,,"SAKILAN MILL,,KILANG KELAPA SAWIT SAKILAN,,,,,,,,,,,,,,SAKILAN PALM OIL MILL,IOI CORPORATION BHD,IOI CORPORATION BHD,HALUSAH LADANG SDN BHD - SAKILAN PALM OIL MILL,HALUSAH LADANG SDN BHD - SAKILAN PALM OIL MILL,,,HALUSAH LADANG - SAKILAN POM"
PO1000000114,YONG PENG (SOU 19A),SIME DARBY,Sime Darby Guthrie (SDGI),SIME DARBY PLANTATION BHD,Sime Darby Guthrie (SDGI),,Not RSPO Certified,,2019-10-31,2.05881000000,103.14839000000,MYS,Malaysia,Johor,Batu Pahat,2-High Confidence,,,"YONG PENG,YONG PENG OIL MILL (SOU19A),KILANG SAWIT YONG PENG,SIME DARBY PLANTATION SDN BHD,YONG PENG OIL MILL,REX POM"
PO1000000118,BATURONG,IOI CORPORATION,IOI,IOI CORPORATION BERHAD,IOI,,RSPO Certified,"RSPO Certified, IP",2019-10-31,4.75530000000,118.08860000000,MYS,Malaysia,Sabah,Kunak,2-High Confidence,,,"BATURONG PALM OIL MILL,,,,,,,,,,,,,,,KKS BATURONG,KKS BATURONG,IOI CORPORATION BHD,IOI CORPORATION BHD,MORISEM SDN BHD - BATURONG PALM OIL MILL,MORISEM SDN BHD - BATURONG PALM OIL MILL,BATURONG POM,,,BATURONG PALM 0IL MILL,MORISEM - BATURONG POM"
